名称,大类,中类,地址,经度,纬度,省份,城市,区域,教育质量,消费场所,医疗健康,旅游资源,交通运输
界宇公寓,酒店住宿,旅馆招待所,杨树浦路与松潘路交叉口西南40米,121.541655,31.259001,上海市,上海市,杨浦区,0.6675426608378668,0.4894308622633669,0.6688284930501143,0.32149859708919504,0.5690840262684426
怡德里,商务住宅,住宅区,杨树浦路1851弄,121.542492,31.260497,上海市,上海市,杨浦区,0.6667891191357532,0.532133233918068,0.6678532170375694,0.4801180931618535,0.5683189539004103
润玉里,商务住宅,住宅区,杨树浦路1825弄,121.542049,31.260238,上海市,上海市,杨浦区,0.6667497826422758,0.5319550351780412,0.6677422897707312,0.4828022557183887,0.5680262433843193
明德里(松潘路),商务住宅,住宅区,松潘路120弄,121.541036,31.261728,上海市,上海市,杨浦区,0.6679473380010365,0.5330680960622645,0.6667036288578816,0.6683706479279165,0.5667211363175036
里仁依,商务住宅,住宅区,临青路与杨树浦路交叉口西北40米,121.544929,31.262843,上海市,上海市,杨浦区,0.6666667217753156,0.5333066525485436,0.6677759129661927,0.5559994914381214,0.5690439517768168
存和里,商务住宅,住宅区,杨树浦路1761弄,121.54137,31.259259,上海市,上海市,杨浦区,0.6670711489762143,0.5239010086741955,0.6682484662718641,0.3958424658826648,0.5683687577886354
杨树浦路1991弄75号,商务住宅,住宅区,杨树浦路1979-1981号附近,121.543921,31.262153,上海市,上海市,杨浦区,0.6666838142365037,0.5333118822684122,0.6674659650662618,0.5685503536735034,0.5683557905765583
纺三小区,商务住宅,住宅区,许昌路227弄1-216号,121.524773,31.254105,上海市,上海市,杨浦区,0.6669842144558077,0.27442581847869774,0.2460151838723733,0.23353826178640114,0.5674780704694844
滨江国际广场,商务住宅,写字楼,杨树浦路1056-1058号,121.530484,31.25136,上海市,上海市,杨浦区,0.27044199797982826,0.1555173435048489,0.22935692916050684,0.20955624449799942,0.32427938792260735
百恩坊小区,商务住宅,住宅区,通北路与杨树浦路交叉口北40米,121.523544,31.252819,上海市,上海市,杨浦区,0.6690878894204956,0.16780059101100153,0.22365287212000431,0.21982721509218195,0.5175133473751276
