名称,大类,中类,地址,经度,纬度,省份,城市,区域,交通设施,休闲娱乐,购物消费,医疗保健,运动健身,科教文化,餐饮美食,旅游景点
依仁里,商务住宅,住宅区,杨树浦路1963弄1-129号,121.543587,31.262003,上海市,上海市,杨浦区,0.4331820411008602,0.19893827452908855,0.49333884532564093,0.45669147025874635,0.19188614935237147,0.5073278101100044,0.3765712774385516,0.2998156625105888
丰泰世纪公寓,商务住宅,住宅区,杨树浦路1736弄,121.542252,31.258569,上海市,上海市,杨浦区,0.3740981064186953,0.1412917978415574,0.3453924916209053,0.38611672369168887,0.1317626550470665,0.41510257979526366,0.28609573073262257,0.23830277681670747
松茂坊,商务住宅,住宅区,周家牌路与松潘路交叉口东50米,121.541436,31.260605,上海市,上海市,杨浦区,0.46521822257017503,0.18634879940903512,0.46376128318140514,0.46763074055732756,0.18640304393901339,0.5161833483726964,0.37659318665883856,0.31243957534996103
周家牌路109弄小区,商务住宅,住宅区,杭州路与三星路交叉口东南160米,121.542347,31.261903,上海市,上海市,杨浦区,0.472412922931493,0.20589868601761788,0.5122862720257345,0.48473484421574825,0.20372293285639645,0.5356614793126544,0.40340103140622624,0.32599814599936566
华忻坊,商务住宅,住宅区,杨树浦路1991弄1-201号,121.544116,31.262543,上海市,上海市,杨浦区,0.4295578249382026,0.20541638485365393,0.509964276005146,0.4569935571085268,0.19727178581096622,0.5115441371323273,0.3819103387173917,0.30145158697503466
嘉豪居,商务住宅,住宅区,[],121.540538,31.261119,上海市,上海市,杨浦区,0.5099092955840754,0.201087443640683,0.5042489976054796,0.5003031496604337,0.20715274346528137,0.5571956707961384,0.41307755751135733,0.3462392516071812
志仁里,商务住宅,住宅区,临青路75弄1-37号,121.544358,31.26315,上海市,上海市,杨浦区,0.43698563161214715,0.2153336454063343,0.5347544815167011,0.46616787312342844,0.20804686090757693,0.52539231423244,0.3967664401473533,0.31149088567069966
界宇公寓,酒店住宿,旅馆招待所,杨树浦路与松潘路交叉口西南40米,121.541655,31.259001,上海市,上海市,杨浦区,0.40778966148444895,0.1536571105042332,0.3780748455755628,0.41429295152226125,0.14823220067752596,0.44892079226104836,0.31392587739987626,0.26340306383380485
怡德里,商务住宅,住宅区,杨树浦路1851弄,121.542492,31.260497,上海市,上海市,杨浦区,0.42686361754023094,0.17705553446919461,0.43863135584086776,0.4400046091994078,0.1724117293390769,0.48305126311468527,0.34942163015707167,0.28561505336449183
润玉里,商务住宅,住宅区,杨树浦路1825弄,121.542049,31.260238,上海市,上海市,杨浦区,0.4337680784894807,0.1750917286456301,0.433965038120078,0.44277588175178356,0.17167532005382025,0.48576961614188696,0.3501111443448268,0.28868075641992175
